CDH1,189,157, 122
MTOR,329,120, 114
KMT2B,9,10, 1
HRAS,33,407, 408
TP53,238,558, 324
PTEN,391,180, 144
EP300,250,559, 244
KMT2D,297,126, 52
CREBBP,378,411, 209
JUN,35,315, 246
CDKN1A,179,184, 167
NCOR1,333,202, 91
JAK1,159,237, 208
KDM6A,343,69, 39
FGFR3,30,63, 137
KRAS,135,327, 374
BRAF,226,128, 82
AKT1,155,365, 365
PIK3R1,82,559, 407
NOTCH1,101,159, 99
STAG2,362,150, 32
RHOA,746,456, 320
CHD4,227,98, 19
HIF1A,375,142, 202
KMT2C,455,98, 45
RB1,178,145, 109
VHL,97,365, 69
CTNNB1,382,400, 402
SPOP,163,42, 47
FBXW7,267,319, 151
CCND1,81,218, 172
PIK3CA,119,494, 421
ATM,212,241, 92
MAP2K4,212,84, 95
HLA-A,739,174, 59
HSPA8,102,39, 7
MUC16,1047,63, 37
IQGAP1,36,26, 12
SMARCA4,415,98, 9
AKAP9,206,225, 16
ITGA2B,2,29, 10
SYNE1,7,7, 0
TNRC6A,59,37, 0
ARID1A,473,78, 0
ERCC2,132,206, 68
VWF,1,29, 2
FN1,7,51, 9
TNRC6B,32,31, 0
POLE,230,169, 23
SYK,40,190, 132
TLR4,6,90, 70
NCOA3,352,179, 102
SOS1,14,75, 48
KDR,38,113, 144
MED1,13,27, 15
APC,149,132, 92
SMAD4,166,218, 124
TGFBR2,91,88, 57
IGF1R,1209,76, 150
FYN,19,66, 44
ATR,220,178, 95
GATA3,70,86, 40
PLCG2,10,30, 47
CASP8,126,136, 84
AR,50,142, 110
FGFR2,82,82, 138
BRCA1,165,277, 77
MAP3K1,75,116, 98
STAT3,275,333, 246
MAPK1,259,486, 475
PRKCA,105,30, 47
HGF,0,185, 118
RUNX1,383,181, 46
PLCG1,137,286, 292
KAT2B,6,51, 10
NRAS,190,370, 361
EGFR,514,347, 342
KMT2A,199,71, 16
NCOR2,645,155, 64
SRC,100,431, 370
NOTCH2,755,73, 57
PRKDC,70,16, 2
ESR1,19,248, 150
ERBB2,115,124, 193
