,0
0,STK39
1,CSH1
2,MCCC1
3,KIR3DL2
4,ZNF791
5,MRPS18B
6,OR4K13
7,LY6K
8,PAN3
9,IL7
10,MVB12B
11,CCL27
12,SRSF5
13,CCNG1
14,MKS1
15,CYBB
16,FAAP20
17,DMP1
18,NDUFA1
19,CPLX1
20,SPRR2A
21,GAS2
22,ETFA
23,OR10T2
24,DOK1
25,PDE3B
26,TCTN2
27,GSTA5
28,CTDSPL
29,OR51I2
30,TNFRSF12A
31,GRIA2
32,AAAS
33,OR5M11
34,PTH2
35,IFNAR1
36,FBXW4
37,RNF5
38,TLE3
39,TACC3
40,RBM5
41,RXFP1
42,NELFA
43,SLCO3A1
44,HUWE1
45,AGPAT1
46,MLLT4
47,TIFA
48,FGR
49,PCDHA2
50,ILK
51,CNTFR
52,NBR1
53,TCF7L1
54,RAB11B
55,PPP1CC
56,TRIM3
57,NFYC
58,ADH4
59,CAPG
60,GCG
61,TSPAN15
62,MMP23B
63,BUD23
64,CYSLTR1
65,HLA-B
66,RELN
67,JADE1
68,HOXB3
69,SESN2
70,ZFP69B
71,GPR65
72,SRF
73,EPB41L3
74,SENP1
75,CSGALNACT1
76,UGT1A10
77,CD2
78,APOBEC3C
79,TAS2R30
80,CCL5
81,OR4A47
82,AVEN
83,NTF4
84,RPS6KA3
85,CENPU
86,MUC7
87,GPNMB
88,FGD5
89,AMFR
90,RAP1A
91,DAPK1
92,PIK3R4
93,PARD3
94,BRD2
95,HAUS1
96,COPS7A
97,MAPK15
98,DENND2A
99,TOMM7
