,0
0,STK39
1,CSH1
2,WBP1
3,MCCC1
4,SCLY
5,BFSP2
6,LY6K
7,MVB12B
8,AK2
9,NDUFA1
10,SPRR2A
11,GAS2
12,PDE3B
13,TCTN2
14,GSTA5
15,CTDSPL
16,OR51I2
17,PACS2
18,TNFRSF12A
19,CNN2
20,PQBP1
21,GRIA2
22,AAAS
23,IFNAR1
24,GCNT2
25,ZNF747
26,LIPF
27,CCNL2
28,ASCC3
29,TLE3
30,MRI1
31,TACC3
32,RBM5
33,ZNHIT3
34,PGM2L1
35,AGPAT1
36,TRNAU1AP
37,FGR
38,NBR1
39,PPP1CC
40,CNTNAP1
41,RBM42
42,TRIM3
43,DAD1
44,TRMT11
45,MMP23B
46,CYSLTR1
47,JADE1
48,GPR65
49,BFAR
50,SENP1
51,UGT1A10
52,DEPDC1B
53,TAS2R30
54,COA5
55,GHDC
56,TMEM30A
57,LMF1
58,GPNMB
59,RBFOX2
60,UFL1
61,AMFR
62,RAP1A
63,ZNF541
64,PARD3
65,MTHFD1L
66,HAUS1
67,COPS7A
68,DENND2A
69,TRAPPC3L
70,MACROD2
71,OR2D2
72,C12orf66
73,CHRDL1
74,ZFPM2
75,COQ7
76,C5AR1
77,PRX
78,NR0B2
79,TIGIT
80,NUF2
81,MTMR6
82,EEF1E1
83,KCND2
84,LRCH1
85,ABTB1
86,FBXL19
87,ARHGAP17
88,ENAM
89,TNFRSF13C
90,TRIM25
91,SMURF2
92,HTR3B
93,EDARADD
94,FXYD1
95,LIN52
96,ZNF567
97,PFKP
98,HOOK2
99,RBL1
