,name
1,BRAF
2,TP53
3,PIK3CA
4,PTEN
5,CDH1
6,ARID1A
7,SPOP
8,MUC16
9,KMT2D
10,VHL
11,AKT1
12,KRAS
13,FBXW7
14,COL6A3
15,NOTCH1
16,FGFR3
17,EP300
18,HSPA8
19,GLI3
20,CDKN1A
21,HRAS
22,RYR2
23,ARID5B
24,ATM
25,SMARCA4
26,COL1A1
27,STAG2
28,FAT1
29,MTOR
30,COL1A2
31,KDM6A
32,MAP2K4
33,TBX3
34,MDC1
35,JAK1
36,KMT2B
37,TNRC6A
38,CREBBP
39,VWF
40,DYNC1H1
41,HLA-A
42,CDK12
43,TAOK1
44,USP9X
45,AGO3
46,CUL1
47,RARA
48,CTNNB1
49,VAV3
50,AKAP9
51,ITGA2
52,ASXL1
53,SSH2
54,KMT2C
55,HIF1A
56,PCLO
57,PLXNA1
58,UPF2
59,MDM2
60,EPHA3
61,RB1
62,ERCC2
63,GNG4
64,RFC1
65,BRIP1
66,CHD4
67,FN1
68,EGF
69,NCOR1
70,AHNAK
71,DDB1
72,SETD2
73,KANSL1
74,YBX1
75,TNRC6B
76,CACNA1E
77,PTK2
78,GRB14
79,TBL1XR1
80,ASH1L
81,ITGAL
82,CDC42BPA
83,IQGAP1
84,ANAPC5
85,PIK3R1
86,MYO10
87,AMER1
88,MYH9
89,SYNE1
90,POLE
91,HDLBP
92,VCL
93,INTS2
94,NEDD4
95,CCND1
96,RHOA
97,BAP1
98,LRP1
99,ITGA2B
100,JUN
