,name
1,PIK3CA
2,TP53
3,KRAS
4,BRAF
5,CDH1
6,PTEN
7,CTNNB1
8,EP300
9,APC
10,KMT2C
11,PIK3R1
12,CREBBP
13,KMT2D
14,GATA3
15,NOTCH1
16,MAP3K1
17,ATM
18,FGFR3
19,CDKN1A
20,HRAS
21,MUC16
22,ERBB2
23,SMAD4
24,CASP8
25,NRAS
26,SPOP
27,AKT1
28,TTN
29,FBXW7
30,SOS1
31,EGFR
32,ATR
33,NCOR1
34,NCOR2
35,KDM6A
36,ERBB3
37,NOTCH2
38,RHOA
39,BRCA1
40,JAK1
41,RANBP2
42,CCND1
43,NCOA3
44,CHD4
45,JUN
46,FGFR2
47,ESR1
48,TPR
49,MTOR
50,NFE2L2
51,KDR
52,NCOA1
53,KMT2B
54,MAPK1
55,AR
56,KMT2A
57,IL6ST
58,PRKCA
59,STAT3
60,PDGFRA
61,PRKCB
62,RB1
63,ZFHX3
64,VHL
65,PRKDC
66,RUNX1
67,CDKN2A
68,MYC
69,IGF1R
70,ERBB4
71,AKT3
72,TGFBR2
73,TLR4
74,HIF1A
75,KAT2B
76,FYN
77,HSPA8
78,LCP2
79,HGF
80,BLM
81,FOXO1
82,RAC1
83,NFATC2
84,PLCG1
85,MAP2K4
86,STAG2
87,JAK2
88,RELA
89,HLA-A
90,MED1
91,PRKCE
92,PDGFRB
93,SMAD2
94,TCF7L2
95,FANCD2
96,JAK3
97,FOS
98,SRC
99,PLCG2
100,SYK
