	score
TP53	4.826125
PIK3CA	4.416401
BRAF	3.9644725
PTEN	3.1410742
KMT2D	2.9553807
APC	2.7846756
CDH1	2.7795112
EP300	2.649584
TTN	1.7671356
CTNNB1	1.454439
KRAS	1.1871679
PIK3R1	1.1735535
MUC16	0.9662335
ATM	0.9512725
ARID1A	0.9443126
MAP3K1	0.9381499
JAK1	0.6464045
NOTCH1	0.53509027
FBXW7	0.5211198
SOS1	0.5082865
KMT2C	0.374094
STAG2	0.32019052
SMAD4	0.2184968
CREBBP	0.20952941
STAT3	0.19938493
APOB	0.1749475
GATA3	0.090202965
CHD4	0.07593525
PLEC	0.019737542
KMT2A	1.7722448e-05
TNRC6A	-0.038134616
HRAS	-0.041558623
PRKDC	-0.088306725
SETD2	-0.10591841
FGFR3	-0.107320726
KDR	-0.114879824
TRRAP	-0.11921209
CTCF	-0.15917356
DST	-0.1615246
SMC1A	-0.18128872
KANSL1	-0.19721496
LRP1B	-0.2077334
ESR1	-0.22256345
PCNT	-0.22335684
NOTCH2	-0.2521833
TNRC6B	-0.2944509
LAMC1	-0.29858586
ASH1L	-0.3334031
MED12	-0.34691206
UBR5	-0.34912455
ERCC2	-0.35361734
KSR1	-0.373814
MDN1	-0.3742931
RB1	-0.38171792
C3	-0.38531348
ZFP36L1	-0.41706118
ACTG1	-0.42361903
AHNAK	-0.45499635
PBRM1	-0.45606217
IGF1R	-0.47064665
ZFHX3	-0.4731095
ERBB2	-0.48126543
USP9X	-0.48821393
TAF1	-0.4893166
MED1	-0.500181
AGO1	-0.5135419
SYNE1	-0.5183353
SPOP	-0.5200309
SPEN	-0.52289855
HSP90AB1	-0.5381172
TRIO	-0.5393805
ARID1B	-0.54123324
COL5A1	-0.5482278
MAML2	-0.55660444
TPR	-0.5578349
HLA-A	-0.5814584
MTOR	-0.5832102
PTPN14	-0.58363265
SMAD2	-0.60533804
SF3B3	-0.6096031
SMARCA4	-0.6116192
EGF	-0.6134593
ERBB4	-0.6203893
HSPA8	-0.6308489
ARID5B	-0.63241047
HLA-DRA	-0.6354749
ANK3	-0.63620895
TBL1XR1	-0.6520011
DMD	-0.6600596
HUWE1	-0.6705753
TUBB2A	-0.6708763
CKAP5	-0.68385047
UBC	-0.69868106
DNMT1	-0.7012372
NCOR1	-0.70678496
AKAP9	-0.7082851
SOX2	-0.7334992
RAC1	-0.73962015
GOLGA3	-0.7439523
ACACA	-0.7441485
NF1	-0.7480101
RANBP2	-0.76868725
RBPJ	-0.7696611
DYNC1H1	-0.7720294
AXIN1	-0.77359027
CDK5RAP2	-0.783598
FN1	-0.7914026
SOX9	-0.7922215
GNAS	-0.7928137
POLE	-0.79407805
STAG1	-0.79501104
SPTAN1	-0.79656386
COL4A5	-0.7992566
SMARCC1	-0.79980445
HNRNPA2B1	-0.8021426
SF3B1	-0.80486315
FGF2	-0.8088768
FAT1	-0.8136919
BRCA1	-0.8184206
VAV3	-0.8228002
AKT1	-0.8232085
PDS5B	-0.82470727
YWHAZ	-0.8302025
ACTL6A	-0.8335783
PRPF8	-0.8438137
ACTB	-0.84598064
HLA-DPA1	-0.8475189
NCOR2	-0.85089356
SZT2	-0.8545554
HNRNPA1	-0.855274
PTPRD	-0.8563314
OBSCN	-0.8587554
XPO1	-0.86010766
MED13	-0.86021143
LAMA5	-0.862715
RYR1	-0.8653942
TBX3	-0.8683426
FASN	-0.8684755
FAT3	-0.869531
GON4L	-0.87751454
UBR4	-0.88005143
ROBO1	-0.88061905
SMAD3	-0.8810565
XRN1	-0.88121957
FANCA	-0.8831315
COL4A3	-0.8873599
PARD3	-0.8969682
IRAK1	-0.89936334
DNAH3	-0.9043526
TFRC	-0.9062517
RHOA	-0.91036034
GLI2	-0.914922
ATRX	-0.91969854
CUX1	-0.9197788
MAML3	-0.9203053
IL6ST	-0.9215501
VCL	-0.9260969
WNK1	-0.92836875
SRRM2	-0.9308985
TP53BP1	-0.93450385
LAMA3	-0.9433517
KIT	-0.9460971
VHL	-0.9465402
PPP6R3	-0.95136386
CLASP1	-0.97130424
NFKB1	-0.97159237
PIKFYVE	-0.974603
KAT2B	-0.97554594
SYNE2	-0.984081
PDE3A	-0.9879732
