	score
PIK3CA	6.28325
TP53	6.0348363
BRAF	3.44199
PTEN	3.3996227
KRAS	2.1694956
APC	1.8259575
CTNNB1	1.7176178
ARID1A	1.5979042
PIK3R1	1.5311861
EP300	1.2015163
CDH1	1.1829002
ATM	1.1590006
AKT1	1.1270788
MAP3K1	1.1246868
CREBBP	1.1198967
SMAD4	1.0515672
SPOP	0.99130356
KMT2D	0.9464904
KMT2C	0.898901
VHL	0.78800774
TTN	0.78628933
TNRC6A	0.77540344
NCOR1	0.61082244
SPTAN1	0.4954419
SOS1	0.43376082
RB1	0.43274865
HRAS	0.3035418
FBXW7	0.26277924
MUC16	0.24425367
STAT3	0.23937985
NRAS	0.22697926
TNRC6B	0.22657935
ERBB2	0.1676518
CTCF	0.15708312
MYH9	0.12357464
NOTCH1	0.10914789
TP53BP1	0.09682845
RUNX1	0.07761975
AKAP9	0.07537357
C3	0.05989772
TLN1	0.054824036
CDKN1A	0.014612717
MED1	-0.11830376
BRCA1	-0.12865677
CHD4	-0.14257643
TGFBR2	-0.17880335
DYNC1H1	-0.1850195
NCOR2	-0.185579
KDM6A	-0.20521662
THBS1	-0.21967101
JAK1	-0.22376299
DST	-0.22722515
KMT2A	-0.23847218
HSP90AA1	-0.24352427
EGFR	-0.28567302
ESR1	-0.30189642
SMARCA4	-0.31587237
NOTCH2	-0.3314041
FN1	-0.33498916
GATA3	-0.33687323
KAT2B	-0.34565175
KDR	-0.34618577
RHOA	-0.35481477
RXRA	-0.37010264
FYN	-0.37562746
CCND1	-0.38072842
LAMC1	-0.38145772
PRKDC	-0.43593055
AGO2	-0.4360021
PLCG1	-0.44690222
EGF	-0.45317644
SMC1A	-0.45909557
RANBP2	-0.46349153
NF1	-0.4670484
NCOA1	-0.4677499
TRRAP	-0.47216314
E2F1	-0.47749916
MDM2	-0.48116693
UBR4	-0.49211186
ALMS1	-0.4996415
SYK	-0.50023526
CASP8	-0.50924784
ITGB3	-0.51683676
TPR	-0.5307576
RAC1	-0.53342324
MED13	-0.53672826
ATR	-0.53900987
HIF1A	-0.54129916
SP1	-0.5423833
MAPK1	-0.54619414
TAF1	-0.55591536
KMT2B	-0.5564071
NRP1	-0.55814075
SIN3A	-0.56142074
TCF7L2	-0.5676199
ITGAV	-0.5789408
STAG2	-0.5858739
SMARCC2	-0.59522355
RNF213	-0.5987495
IRS1	-0.60189956
ACTB	-0.6052929
PRKCA	-0.60592395
NCOA3	-0.60665923
MCM7	-0.6135384
CCNA2	-0.6154443
SPEN	-0.61719024
AR	-0.62812585
VWF	-0.63126755
HSPA8	-0.6407122
IQGAP1	-0.6454131
CTNNA1	-0.6477696
HSPG2	-0.6488496
PBRM1	-0.66980714
HGF	-0.69161165
TLR4	-0.6955346
MDC1	-0.695747
JUN	-0.7005253
DNMT1	-0.71946955
