	score
TP53	9.35606
PIK3CA	4.8038955
PIK3R1	2.5424626
SMAD4	2.4455576
KRAS	2.4215171
APC	2.3103468
KMT2D	2.3067496
AKT1	2.20843
PTEN	1.8483953
CTNNB1	1.8304952
TTN	1.7948208
ATM	1.7069117
KMT2C	1.634848
BRAF	1.6208035
ERBB2	1.3116665
FGFR3	1.2137996
CDH1	1.1953427
NRAS	1.0645322
CREBBP	1.0335833
CDKN1A	1.0190912
MUC16	0.9382325
GATA3	0.9012137
NOTCH1	0.8295426
HTT	0.74010974
SPOP	0.69728595
JAK1	0.65111375
JAK2	0.6309327
SHC1	0.55388194
KDR	0.5410495
IGF1R	0.53317875
CCND1	0.482872
JUN	0.4544826
SRC	0.45096195
SOS1	0.43521163
SP1	0.40536907
EGFR	0.39387563
AKAP9	0.37476936
FBXW7	0.34684715
ESR1	0.32892525
STAG2	0.32267705
ERBB3	0.28109095
MED1	0.26008654
TCF7L2	0.2569424
NCOR1	0.24162619
RB1	0.2110256
SPTAN1	0.20205057
PLK1	0.17300634
NOTCH2	0.17051423
HIF1A	0.12634043
SOX9	0.12454271
PTK2B	0.114835
RXRA	0.112292826
RANBP2	0.10727057
TPR	0.08779947
NF1	0.08198061
HGF	0.06676561
EP300	0.064019464
NCOA2	0.053218234
ATR	0.036657095
EPHA2	0.030011445
NCOA3	0.022720536
NCOA1	-0.015792191
KMT2A	-0.01914396
MTOR	-0.021147594
GNAS	-0.028425923
CASP8	-0.042226847
BRCA1	-0.078574754
GPLD1	-0.092381306
RELA	-0.1303653
ANK3	-0.1313061
COL1A2	-0.14020336
YWHAE	-0.1428431
MYC	-0.14334436
RNF213	-0.14640729
ERCC2	-0.15172446
SMAD2	-0.15222253
FAT1	-0.15489435
EGF	-0.15926503
FOXO1	-0.16292728
STAT3	-0.17162204
PRKCB	-0.19442445
PLCG2	-0.19518514
MAPK11	-0.20193064
RUNX1	-0.20226447
RHOA	-0.20816036
GLI3	-0.21281779
CDC20	-0.22181602
POLE	-0.24605234
HUWE1	-0.2716351
HRAS	-0.27938858
LRP1	-0.2872247
TGFBR2	-0.28727987
TGFBR1	-0.29243505
THBS1	-0.29418513
HCK	-0.32044986
MAPK8	-0.3225601
PDGFRB	-0.3243812
AKT2	-0.3269427
HSP90AA1	-0.32734168
ROCK2	-0.32945022
NCOR2	-0.33209023
NFE2L2	-0.33416602
HSPG2	-0.34080887
SMAD3	-0.3434802
FOS	-0.3510039
VWF	-0.3625076
