,name,score
0,BRAF,12.658229
1,TP53,9.349344
2,PIK3CA,7.1130586
3,PTEN,6.29055
4,CDH1,5.812744
5,ARID1A,4.815192
6,SPOP,3.9082851
7,MUC16,3.0167153
8,KMT2D,2.700168
9,VHL,2.5606897
10,AKT1,2.035658
11,KRAS,1.742935
12,FBXW7,1.6273718
13,COL6A3,1.5915347
14,NOTCH1,1.5637548
15,FGFR3,1.5207999
16,EP300,1.2288129
17,HSPA8,1.2202926
18,GLI3,1.2011108
19,CDKN1A,1.2005314
20,HRAS,1.1684295
21,RYR2,1.1364033
22,ARID5B,1.090088
23,ATM,0.9866059
24,SMARCA4,0.80961794
25,COL1A1,0.6901692
26,STAG2,0.6799115
27,FAT1,0.6742243
28,MTOR,0.6258949
29,COL1A2,0.62582034
30,KDM6A,0.56889564
31,MAP2K4,0.45952946
32,TBX3,0.44107437
33,MDC1,0.40961772
34,JAK1,0.39705867
35,KMT2B,0.39247698
36,TNRC6A,0.34762457
37,CREBBP,0.338473
38,VWF,0.33821476
39,DYNC1H1,0.33532804
40,HLA-A,0.3157083
41,CDK12,0.30884266
42,TAOK1,0.28544033
43,USP9X,0.26426524
44,AGO3,0.2542708
45,CUL1,0.23011199
46,RARA,0.17176032
47,CTNNB1,0.16939199
48,VAV3,0.16446136
49,AKAP9,0.15787995
50,ITGA2,0.15537435
51,ASXL1,0.13823617
52,SSH2,0.11572224
53,KMT2C,0.06467825
54,HIF1A,0.034976304
55,PCLO,0.030789733
56,PLXNA1,0.010255694
57,UPF2,0.004339814
58,MDM2,-0.009851217
59,EPHA3,-0.015033543
60,RB1,-0.019100726
61,ERCC2,-0.023946345
62,GNG4,-0.026448965
63,RFC1,-0.030792594
64,BRIP1,-0.04908502
65,CHD4,-0.068669945
66,FN1,-0.07261485
67,EGF,-0.076526076
68,NCOR1,-0.07737726
69,AHNAK,-0.07938206
70,DDB1,-0.090546966
71,SETD2,-0.09164548
72,KANSL1,-0.094264835
73,YBX1,-0.1190888
74,TNRC6B,-0.12523341
75,CACNA1E,-0.13080782
76,PTK2,-0.13723621
77,GRB14,-0.14798142
78,TBL1XR1,-0.15483165
79,ASH1L,-0.16527858
80,ITGAL,-0.16982123
81,CDC42BPA,-0.17936972
82,IQGAP1,-0.18912977
83,ANAPC5,-0.18915969
84,PIK3R1,-0.19224039
85,MYO10,-0.19484478
86,AMER1,-0.20594883
87,MYH9,-0.20989227
88,SYNE1,-0.21500063
89,POLE,-0.21981245
90,HDLBP,-0.22247046
91,VCL,-0.22296403
92,INTS2,-0.23072748
93,NEDD4,-0.24249509
94,CCND1,-0.2494322
95,RHOA,-0.25048417
96,BAP1,-0.2608862
97,LRP1,-0.26887763
98,ITGA2B,-0.27052748
99,JUN,-0.27502534
100,SPTAN1,-0.28884757
101,TCF7L2,-0.29465765
102,HNRNPA1,-0.29820535
103,GAB1,-0.29827642
104,RHOB,-0.30852562
105,C3,-0.31445944
106,SMAD4,-0.3145547
107,ACVR2A,-0.31573465
108,PLCG2,-0.31799477
109,INSR,-0.32833046
110,DLG1,-0.33243164
111,ANK3,-0.33501524
112,PHC3,-0.34507445
113,COL5A3,-0.34620667
114,RPTOR,-0.35528195
115,FGA,-0.36808705
116,LCP2,-0.37187284
117,SIPA1L1,-0.37867776
118,SLC22A3,-0.38182193
119,KIT,-0.38198203
120,LPP,-0.3844468
121,AP2M1,-0.38773453
122,CACNA2D1,-0.40458477
123,SPEN,-0.4080826
124,USH2A,-0.40974987
125,RAC1,-0.42992422
126,ZFHX3,-0.4327097
127,PRKCZ,-0.4383693
128,RANBP2,-0.43858024
129,CLTC,-0.44343576
130,KMT2A,-0.45300388
131,SMAD3,-0.4555082
132,RBBP6,-0.45916584
133,CUL3,-0.46876848
134,TCF4,-0.4740332
135,CNOT3,-0.48022857
136,DNMT3A,-0.48243418
137,SREBF2,-0.4890493
138,AP1G1,-0.5005643
139,TPR,-0.5080525
140,NR3C1,-0.51379657
141,MED1,-0.52065957
142,PDS5B,-0.52258676
143,GATAD2B,-0.52818143
144,SRSF1,-0.53084284
145,NOTCH2,-0.53343236
146,OBSCN,-0.5357035
147,EXOC4,-0.536641
148,DAB2,-0.5410329
149,PARD3,-0.5461121
150,MDN1,-0.5482812
151,MAML1,-0.5593506
152,GOLGA4,-0.56142825
153,FYN,-0.5628459
154,CPSF6,-0.57327676
155,LMO7,-0.580071
156,GLI1,-0.5841089
157,RAD23B,-0.5909969
158,CD74,-0.5939673
159,SF3B1,-0.5950438
160,IGF2,-0.59799933
161,SUPT16H,-0.59813297
162,ARID1B,-0.6158974
163,GNG7,-0.61700284
164,ALMS1,-0.618153
165,DOCK1,-0.6187504
166,HLA-B,-0.6206355
167,APC,-0.6207241
168,STIL,-0.62208104
169,CHTF18,-0.62236655
170,HDAC2,-0.6226277
171,STAG1,-0.6236092
172,RERE,-0.62486744
173,TRRAP,-0.6255981
174,HIP1,-0.6294737
175,HIVEP3,-0.63068366
176,FAT4,-0.631444
177,ITGA3,-0.6315528
178,THBS1,-0.63265944
179,ABL1,-0.6329181
180,ATXN7,-0.634075
181,MCM6,-0.6344818
182,CASC3,-0.64211905
183,GNAS,-0.6445308
184,NCOA2,-0.64938366
185,LRP1B,-0.654191
186,PSMA1,-0.6552037
187,ZMYM2,-0.6566061
188,HDAC4,-0.6673466
189,XIRP1,-0.66952
190,SHC1,-0.6719054
191,UBE2D2,-0.67853934
192,ROCK2,-0.6844564
193,CENPF,-0.6870994
194,ACVR1B,-0.690228
195,PROC,-0.69117665
196,HSPG2,-0.69616395
197,SMC4,-0.6994351
198,COL12A1,-0.7031356
199,ZW10,-0.7138503
200,RAD23A,-0.71413946
201,YAP1,-0.7195934
202,ERC1,-0.7224393
203,TUBB2B,-0.72294855
204,TFRC,-0.72527105
205,RUNX1T1,-0.7279166
206,IL7R,-0.7295466
207,ZMIZ1,-0.73064905
208,MED13,-0.7369682
209,POLE2,-0.7383332
210,LRP6,-0.7392033
211,RXRB,-0.745861
212,NFIB,-0.74592704
213,HECW1,-0.7575095
214,MSH2,-0.758817
215,MACF1,-0.76001096
216,PLEC,-0.76312494
217,CAND1,-0.763759
218,CENPL,-0.7644036
219,POLR3A,-0.7697898
220,PLCG1,-0.7708963
221,RAB5C,-0.7711703
222,UBR4,-0.7718762
223,CELSR3,-0.77395666
224,B3GNT5,-0.77729297
225,SMG1,-0.7777329
226,STK4,-0.778561
227,SRCAP,-0.7835834
228,PSIP1,-0.7955464
229,ITSN2,-0.7987362
230,TJP1,-0.80063677
231,ETV1,-0.8065723
232,RAD21,-0.8070942
233,MKI67,-0.8078207
234,COL14A1,-0.8134172
235,EIF4A2,-0.8137473
236,AURKB,-0.81495637
237,SOS1,-0.8150692
238,PRKDC,-0.81937075
239,CCNT2,-0.8199394
240,TGFBR2,-0.8223629
241,NCOA1,-0.8226066
242,EZR,-0.82280564
243,FGB,-0.8236239
244,WASL,-0.82518864
245,TRPS1,-0.8275521
246,RPS15A,-0.83653104
247,SLC3A2,-0.83728945
248,DROSHA,-0.8396481
249,COL4A3,-0.84214056
250,ADCY2,-0.8474051
251,PARP1,-0.84819484
252,EIF4G3,-0.8483819
253,IL2RG,-0.8485502
254,SETD1A,-0.8496383
255,MCM7,-0.8523797
256,TLN1,-0.85241044
257,TGIF1,-0.85394585
258,WASF2,-0.854445
259,DCHS1,-0.8558049
260,DDX5,-0.8582429
261,BAZ1B,-0.8601985
262,FGFR1,-0.8613498
263,EPS15,-0.8636177
264,RFC4,-0.8672214
265,MTA2,-0.86953866
266,ATF7IP,-0.8698083
267,DDB2,-0.8698654
268,HLA-DQA1,-0.87494624
269,RABEP1,-0.87571007
270,FANCA,-0.8793496
271,FRAS1,-0.87973726
272,PCBP1,-0.88352627
273,RPA1,-0.88982743
274,ZNF462,-0.8947034
275,CUL4B,-0.8965917
276,MED12,-0.9025254
277,CEP290,-0.90261316
278,EPHB3,-0.906463
279,AQR,-0.9072746
280,POM121,-0.9083631
281,TNC,-0.9094076
282,SATB1,-0.9109741
283,ARHGAP35,-0.91207516
284,DOCK4,-0.9186622
285,ITGB1,-0.9190532
286,ATR,-0.92104536
287,SH3BP5,-0.92309177
288,BTK,-0.9261582
289,HNRNPUL1,-0.9307797
290,COL4A1,-0.9357142
291,EP400,-0.9368373
292,CSNK1D,-0.93743753
293,SERBP1,-0.937739
294,FGF1,-0.9393626
295,GAB2,-0.9424405
296,BARD1,-0.945297
297,GOLGA3,-0.9512541
298,TAF1,-0.95650333
299,WWTR1,-0.95722544
300,NUP133,-0.9606555
301,APP,-0.9633614
302,UBR1,-0.9645032
303,PLK1,-0.96688175
304,KAT2B,-0.96959066
305,PRKAR2A,-0.9698062
306,ACVR2B,-0.970657
307,FZR1,-0.97115016
308,SPECC1,-0.97169435
309,DHX9,-0.97171867
310,DIAPH2,-0.9717195
311,FMNL2,-0.97335
312,AP1M1,-0.97344786
313,PLXNB1,-0.97486645
314,HLA-DPB1,-0.97646075
315,DMD,-0.980285
316,LRP2,-0.981194
317,CABIN1,-0.98558795
318,ORC1,-0.9872616
319,XRN1,-0.9882708
320,UTP20,-0.98884225
321,DENND5A,-0.9949044
322,MGRN1,-0.995384
323,GSK3B,-0.99609554
324,PTPRB,-1.0007834
325,RICTOR,-1.001107
326,YEATS2,-1.0028695
327,CUL4A,-1.0041658
328,UBAP2L,-1.004281
329,HGS,-1.0043771
330,NCOA3,-1.0068494
331,CARD11,-1.0075456
332,SUPT6H,-1.0075802
333,ZFP36L1,-1.009011
334,ARHGAP21,-1.0101941
335,TUBB3,-1.0105305
336,NUP188,-1.0109241
337,LAMC1,-1.0115826
338,HERC1,-1.0142581
339,CSNK2A1,-1.0145124
340,ITGAE,-1.0156094
341,HIVEP2,-1.0189816
342,WNK1,-1.0195341
343,LTBP1,-1.0202435
344,LRRC7,-1.0204326
345,FGFR2,-1.0231411
346,DNMT1,-1.0247654
347,F12,-1.0253541
348,RPL8,-1.0280015
349,CIC,-1.0280778
350,ARID2,-1.0310858
351,AGO4,-1.0330677
352,LRRC8B,-1.033075
353,SMARCC2,-1.0337186
354,AHCTF1,-1.0375359
355,WAS,-1.0378889
356,CTNND1,-1.0448431
357,ACACA,-1.0449868
358,GFRA2,-1.0472205
359,MED13L,-1.0492916
360,MBD6,-1.0500255
361,GTF3C5,-1.0517627
362,DPYSL2,-1.054774
363,PDGFB,-1.0562786
364,DYNC1LI1,-1.0575047
365,FRS2,-1.0579225
366,CDK7,-1.0588987
367,KDR,-1.0621974
368,CSTF3,-1.0630376
369,FLNA,-1.0633523
370,PCNT,-1.0643128
371,LGALS3,-1.0662107
372,NIPBL,-1.067188
373,QKI,-1.0679697
374,DNAJC6,-1.0730221
375,NFKB2,-1.0740013
376,MUC5B,-1.0762577
377,TBCD,-1.0764617
378,CCNA2,-1.0770342
379,OGT,-1.0776169
380,CHD1,-1.0783694
381,KDM5A,-1.0790687
382,IL12RB2,-1.0817251
383,PDE4DIP,-1.0839924
384,DLL1,-1.0843029
385,SIN3A,-1.0849249
386,KCTD3,-1.085973
387,NIN,-1.086903
388,RPS27A,-1.088248
389,TNFAIP3,-1.088439
390,CNOT1,-1.0889212
391,CSK,-1.0912337
392,DNM2,-1.0920172
393,TYK2,-1.0937097
394,FLNB,-1.095341
395,TGFA,-1.0957199
396,CHD7,-1.0963463
397,MAP1B,-1.0993977
398,TFEB,-1.105923
399,NLRP3,-1.1112458
400,STON2,-1.1161158
401,SMARCA2,-1.1167982
402,PCDH18,-1.118005
403,NUP214,-1.1197796
404,FBXO11,-1.1201127
405,ITGA1,-1.1202288
406,UCP2,-1.1209254
407,LEF1,-1.1209539
408,DNAH7,-1.1231754
409,CAV1,-1.1239467
410,HSP90B1,-1.1242642
411,NCBP1,-1.1251395
412,THOC2,-1.1260377
413,PTCH2,-1.1268569
414,EEF1A1,-1.1299233
415,ADAM17,-1.1328732
416,EWSR1,-1.134262
417,DOCK11,-1.1345092
418,GNB5,-1.1354218
419,COL5A1,-1.1360594
420,MYH10,-1.1379167
421,UBR5,-1.1393776
422,KDM3B,-1.1403944
423,TPM4,-1.1416888
424,CCT3,-1.1476853
425,SOX17,-1.147952
426,IL6ST,-1.1483825
427,KCNC4,-1.1519943
428,EPHB2,-1.1524092
429,HUWE1,-1.1543971
430,RASSF2,-1.1547886
431,ACTG1,-1.1550508
432,FADD,-1.1572148
433,YES1,-1.1589329
434,DYNC2H1,-1.1604998
435,TUBAL3,-1.1606301
436,TCF12,-1.1606337
437,DDX3X,-1.1615869
438,SERPINH1,-1.1622087
439,CHD3,-1.1622285
440,PTPRD,-1.1630256
441,DGKD,-1.1639354
442,STX6,-1.1641507
443,CENPT,-1.1671975
444,PKP4,-1.1676447
445,CASP8,-1.17177
446,TOP2B,-1.1723669
447,WAC,-1.1750808
448,PPM1B,-1.1822003
449,CUL5,-1.1860132
450,RPS9,-1.1864493
451,AXIN1,-1.187573
452,PDGFRB,-1.1883683
453,PPP6R3,-1.1887287
454,AFF4,-1.1902397
455,RAI1,-1.1902649
456,CIT,-1.1903663
457,BIRC5,-1.1908619
458,SYK,-1.1912764
459,HCK,-1.1915183
460,ROR2,-1.1924496
461,NRIP1,-1.1925211
462,KCNN3,-1.1930033
463,MKNK2,-1.1956589
464,WRN,-1.195936
465,POLA1,-1.1965721
466,CPS1,-1.1973453
467,DDX52,-1.1980848
468,EFNB3,-1.1998235
469,EPS15L1,-1.1999776
470,PSMB5,-1.2026603
471,SYT4,-1.2029349
472,GNB3,-1.204728
473,SMAD9,-1.2075844
474,SF3B3,-1.2078328
475,ITGAV,-1.2079537
476,NCOR2,-1.2082871
477,SNX2,-1.2101886
478,RELA,-1.2111888
479,MAP1A,-1.2144352
480,P2RX6,-1.2150521
481,COL25A1,-1.2159221
482,IRAK1,-1.2173105
483,CLASP1,-1.2197735
484,YWHAE,-1.2200868
485,LATS1,-1.2227666
486,ITPR2,-1.2229631
487,PTPN13,-1.224777
488,SOCS6,-1.2250249
489,NF1,-1.2252498
490,TSC2,-1.2258327
491,NCOA4,-1.2271861
492,TTC21B,-1.2318797
493,FUT9,-1.2319411
494,ROBO1,-1.2327144
495,ABL2,-1.2370142
496,COL9A2,-1.237563
497,SPTBN2,-1.2380278
498,PLXNA4,-1.2398269
499,MARK3,-1.241005
500,DPYD,-1.2438949
501,NOTCH3,-1.2457862
502,PTPRJ,-1.2473178
503,TP53BP1,-1.2490473
504,ZNF521,-1.2565486
505,BACE2,-1.2582157
506,KNTC1,-1.2595072
507,ALOX5,-1.259942
508,RYR3,-1.2602276
509,BRCA1,-1.2638943
510,CALR,-1.2643702
511,SMARCD2,-1.2651103
512,VAMP3,-1.2651492
513,APOB,-1.2657269
514,AURKA,-1.2660267
515,TBL1X,-1.266928
516,NINL,-1.2672567
517,VASP,-1.2687376
518,FGG,-1.2687657
519,FSTL1,-1.2690582
520,TRIM21,-1.2693067
521,SEC23A,-1.2708702
522,CGA,-1.271489
523,RNF213,-1.2745514
524,DST,-1.2756969
525,GOSR1,-1.2770234
526,PPP2R5A,-1.2780805
527,MLLT1,-1.2789571
528,INPPL1,-1.2847555
529,YWHAG,-1.286459
530,SPTBN1,-1.2883167
531,CSF2RA,-1.2912974
532,BMP2,-1.2917747
533,ADAR,-1.2923934
534,PSMA4,-1.294339
535,DOCK3,-1.2955436
536,ITCH,-1.2991033
537,CEP250,-1.3006645
538,GATA3,-1.3014162
539,ELF3,-1.3021541
540,PARG,-1.3022466
541,ATAD5,-1.3025078
542,STAT5B,-1.3028796
543,INCENP,-1.3048083
544,THBS2,-1.3057861
545,PFKFB3,-1.3058144
546,IRAK4,-1.3066485
547,WNK2,-1.3079141
548,JAG2,-1.3080688
549,ERBB2,-1.3084555
550,MLXIP,-1.3099254
551,KCNMA1,-1.3110645
552,COL4A4,-1.3134341
553,G3BP1,-1.3148017
554,NANOG,-1.3160698
555,NUP205,-1.3171129
556,NUMA1,-1.3179777
557,SMCHD1,-1.3180578
558,PTPRK,-1.3181653
559,CAPN1,-1.318824
560,CHD8,-1.3201003
561,CDC73,-1.3212793
562,DDX17,-1.3220221
563,XRCC6,-1.3222086
564,FGF9,-1.3224492
565,GPHN,-1.3230705
566,POU2F1,-1.3245618
567,CLASP2,-1.3256264
568,POLQ,-1.3265979
569,MET,-1.3274229
570,DCAF7,-1.3281335
571,IGF1R,-1.3320707
572,KIF23,-1.3337302
573,LAMA5,-1.3357418
574,IRS1,-1.3394028
575,PXN,-1.339708
576,HSP90AB1,-1.3401082
577,INVS,-1.3401772
578,TNS1,-1.3405491
579,OXA1L,-1.3408289
