,name,score
0,APC,2.8540516
1,TP53,2.4092906
2,PIK3CA,2.2971647
3,BRAF,1.8736926
4,GATA3,1.8457409
5,EP300,1.7882236
6,NOTCH1,1.7021656
7,VHL,1.5699271
8,MAP3K1,1.4989614
9,AKT1,1.4871144
10,PTEN,1.4566936
11,SPOP,1.3993851
12,CREBBP,1.2059178
13,ERBB2,1.2012569
14,PIK3R1,1.1939186
15,BRCA1,1.1775078
16,CASP8,1.1323447
17,NCOA1,1.1301596
18,FOS,1.0912724
19,KMT2C,1.0740563
20,SMAD4,1.0364271
21,TGFBR2,0.98600644
22,FOXA1,0.95899916
23,ATR,0.95799613
24,RAC1,0.95650214
25,RB1,0.9472766
26,FLT3,0.9199942
27,STAT3,0.86801696
28,MST1R,0.83364797
29,KMT2D,0.80156094
30,ATM,0.79854923
31,HRAS,0.7890451
32,MAPK1,0.76144266
33,GLI1,0.75313854
34,ESR2,0.7370786
35,ESR1,0.7185696
36,TBX3,0.71528596
37,KRAS,0.70997816
38,CDKN2A,0.70851827
39,NCOA2,0.7049405
40,JAK1,0.70447177
41,KDM6A,0.684478
42,NCOA3,0.67770195
43,CCND1,0.6754338
44,NCOR1,0.6739323
45,JAK2,0.65166396
46,RASA1,0.6499488
47,CTNNB1,0.63687295
48,AR,0.63192886
49,LIG3,0.63008547
50,ERBB4,0.5924525
51,HLA-A,0.5801838
52,CCNA2,0.57063985
53,LEF1,0.5616528
54,SHC1,0.5599216
55,SALL4,0.5578931
56,NTRK2,0.5505459
57,HNF1A,0.5491237
58,NOTCH3,0.53919655
59,HGF,0.5378648
60,RANBP2,0.5354962
61,AMER1,0.5317742
62,JUN,0.52721
63,E2F1,0.519323
64,RPL22,0.508666
65,RARA,0.5002436
66,STAT5A,0.48856452
67,LCK,0.48533306
68,MTOR,0.48425925
69,WWTR1,0.48286867
70,FANCI,0.4827175
71,MAP2K6,0.47489432
72,CDKN1A,0.4722453
73,PTPRB,0.46867982
74,FANCA,0.46612975
75,FBXW7,0.46378884
76,AKT3,0.46215165
77,TLR4,0.4602958
78,FOXO1,0.45607826
79,BRIP1,0.4513239
80,NBN,0.44481954
81,BARD1,0.43537602
82,CHD4,0.4218583
83,TTN,0.41648278
84,MYB,0.40668544
85,MAF,0.40397763
86,FANCG,0.40103695
87,ACVR1B,0.3987762
88,IGF1R,0.39874244
89,LYN,0.39824066
90,MYH9,0.39297947
91,MAPK8,0.38490447
92,NTRK1,0.38319755
93,NFATC2,0.38033506
94,FGFR4,0.37588325
95,TGFB1,0.37207493
96,EZH2,0.36990288
97,FASLG,0.36765504
98,BCL2,0.35037526
99,FLT4,0.3466498
100,BLM,0.3460615
101,RHOA,0.3373282
102,CSF1R,0.33369803
103,KIT,0.3301084
104,NFATC1,0.32254693
105,MYC,0.3192369
106,IL6ST,0.31841317
107,NCOR2,0.3179401
108,MAP2K1,0.3171463
109,BTK,0.31638518
110,RXRA,0.3136834
111,HSPG2,0.30127212
112,CARM1,0.29716793
113,NFE2L2,0.29518127
114,TNF,0.2935206
115,HCK,0.28513643
116,DNMT1,0.2835041
117,IL6,0.28237593
118,CHEK2,0.27729002
119,GATA1,0.27456656
120,MEF2C,0.2697675
121,IL10,0.2691016
122,SOS1,0.26528034
123,FANCD2,0.25803474
124,CAV1,0.25652137
125,FAT4,0.2532737
126,IGF1,0.24859889
127,TGFBR1,0.24379773
128,PRKCB,0.24171336
129,PLCG1,0.2393748
130,NUP210,0.23865478
131,RBPJ,0.2379657
132,SMAD2,0.23611008
133,PTPN11,0.2339177
134,NOTCH2,0.23228687
135,CREB1,0.23113616
136,MLH1,0.22907777
137,VAV3,0.22609489
138,ERBB3,0.21976066
139,RYR2,0.2186423
140,TFAP2A,0.21844852
141,SPP1,0.21662772
142,AXIN2,0.2159881
143,CDH1,0.21568601
144,LIG1,0.2112615
145,NTRK3,0.20791213
146,FOXO3,0.20426096
147,PDGFRA,0.20199311
148,ITGAV,0.20005047
149,RUNX3,0.19524045
150,FGFR1,0.19451825
151,FGF6,0.19352245
152,KAT2B,0.1923455
153,AURKA,0.19185805
154,POLE,0.1909752
155,GRB2,0.18852492
156,LIFR,0.18678975
157,CTNNA1,0.181783
158,LCN2,0.17465706
159,BIRC3,0.1732109
160,NKD2,0.16962652
161,PTK2,0.16842133
162,EGR1,0.16817832
163,RELA,0.16538624
164,PTK6,0.1599987
165,KDR,0.15377031
166,PRKCA,0.15330572
167,HECW1,0.14872855
168,ATRX,0.14684983
169,SOX17,0.1462995
170,TNFSF15,0.14531203
171,MMP9,0.14500093
172,HIF1A,0.14390698
173,INSR,0.14279576
174,SRC,0.12775664
175,CSF2RB,0.12660672
176,FGFR2,0.123335354
177,RAD51,0.1232942
178,BAZ1B,0.12100631
179,CDC37,0.11866015
180,A1CF,0.11659662
181,CD79A,0.10471958
182,RNF43,0.10416553
183,GNAS,0.09756881
184,PDGFRB,0.09746387
185,GLI3,0.09501943
186,ELN,0.09392477
187,MYO5A,0.08936131
188,DAXX,0.08770201
189,TEK,0.08391216
190,RUNX1,0.08381798
191,CHUK,0.08143832
192,FANCM,0.07994472
193,RXRB,0.07797883
194,EML4,0.06846385
195,PARP1,0.067612864
196,EGFR,0.06461236
197,CTNND2,0.060959797
198,PRKDC,0.05970026
199,SYK,0.059319306
200,MED23,0.051500037
201,PTPN6,0.050390083
202,SMAD3,0.048538815
203,THBS1,0.04843082
204,MUC5B,0.04611528
205,NFKB2,0.044183303
206,BID,0.043106873
207,FGF3,0.04120646
208,TCF7L2,0.039732207
209,PPARG,0.039544087
210,PRKCD,0.039532702
211,EPAS1,0.03815046
212,IL1RAP,0.036633592
213,MUC3A,0.03494789
214,BMPR1A,0.03287493
215,KL,0.027784327
216,KMT2A,0.027426481
217,MSH2,0.022600561
218,SETD1B,0.022369226
219,MYD88,0.019233981
220,EGF,0.01822812
221,CCND2,0.01336952
222,NUP214,0.013243224
223,POMC,0.0126951635
224,CSNK1E,0.012338598
225,BIRC2,0.012152563
226,EP400,0.009388705
227,WDR33,0.008698623
228,EEF1A1,0.0061351247
229,MED1,0.0054456987
230,ADAM17,0.0012412915
231,TLN1,-0.00010167559
232,NCOA6,-0.0015204152
233,RELN,-0.0037952065
234,PBX1,-0.0053991675
235,KDM3B,-0.0073374906
236,FGF2,-0.007599612
237,TFDP2,-0.008365621
238,POLD1,-0.014614168
239,FANCB,-0.015444283
240,FES,-0.015772035
241,BTG2,-0.0188905
242,IL5RA,-0.02037255
243,CREB3L1,-0.022439877
244,JAK3,-0.024707973
245,MYLK,-0.030375281
246,PTPN13,-0.030495167
247,CSF2,-0.032319386
248,PCF11,-0.032396425
249,PRKCE,-0.032431167
250,NFKB1,-0.037383933
251,TNC,-0.03780661
252,E2F7,-0.038908184
253,MAPK3,-0.041131932
254,PAXIP1,-0.041989308
255,CCND3,-0.04570623
256,MAP3K7,-0.04805355
257,MALT1,-0.04904596
258,DNM2,-0.05052996
259,CCNE1,-0.05097586
260,LRP2,-0.052692354
261,NLRP3,-0.05334116
262,BCL10,-0.055909306
263,NRG1,-0.056355227
264,CD40,-0.06044805
265,IL37,-0.06242895
266,EED,-0.062660754
267,HIVEP3,-0.06461098
268,TFRC,-0.066547535
269,EREG,-0.06806319
270,CREB3L2,-0.06970203
271,FYN,-0.070911184
272,RELB,-0.0709253
273,HTR1F,-0.0716353
274,CDKN1B,-0.073024176
275,LCP2,-0.07580618
276,ZFHX3,-0.078239955
277,PTPRF,-0.08129547
278,PRLR,-0.081563756
279,CD79B,-0.082900055
280,CUL3,-0.082925856
281,FANCF,-0.08299038
282,SMARCA4,-0.08333993
283,SLC8A1,-0.08542651
284,MAML1,-0.08632166
285,FGFR3,-0.08634407
286,BAZ2A,-0.08705745
287,CSF3R,-0.087448835
288,MET,-0.087983936
289,FOXO4,-0.08842955
290,SMAD5,-0.0890941
291,MSH3,-0.090229265
292,PTPRC,-0.090698265
293,BRCA2,-0.091344185
294,TPR,-0.09374141
295,SDC2,-0.097942404
296,SMC1A,-0.09890655
297,ALK,-0.10015511
298,CDH17,-0.10039208
299,CD44,-0.10403794
300,MED13,-0.107322276
301,INSRR,-0.10891787
302,SIN3A,-0.1128813
303,NOS3,-0.113973804
304,CXCR3,-0.11429781
305,KLF4,-0.114942156
306,ADAMTSL1,-0.11548386
307,NXF1,-0.116440095
308,FGF7,-0.11771832
309,NANOG,-0.11778133
310,ANK3,-0.1192741
311,PCDH18,-0.11931489
312,NFKBIA,-0.12586977
313,CLTCL1,-0.12676363
314,CD209,-0.12710547
315,ID4,-0.13355665
316,MAVS,-0.13359646
317,HUS1,-0.13364336
318,RET,-0.13382268
319,PRKD1,-0.13654587
320,IL18,-0.13711207
321,LTBP1,-0.13731594
322,RPA2,-0.13783883
323,RUNX1T1,-0.14073236
324,TERT,-0.14401098
325,HOXB3,-0.14410384
326,CDX2,-0.1441244
327,KLK5,-0.14430724
328,RNF111,-0.14537716
329,ACTL6A,-0.14570953
330,PDGFB,-0.14633678
331,PRNP,-0.14662802
332,IRS4,-0.14726527
333,ABCB1,-0.14844587
334,IRAK3,-0.15094705
335,ARNT,-0.15124243
336,VEGFA,-0.15179163
337,IKBKE,-0.15282142
338,SMAD7,-0.15355505
339,MMP2,-0.15672989
340,AHCTF1,-0.15790814
341,FLT1,-0.16084035
342,IL1B,-0.16181338
343,SMAD6,-0.16283797
344,EBF1,-0.16348399
345,MYO1C,-0.1649624
346,CXCR4,-0.16517363
347,PCNA,-0.16728611
348,RAD9B,-0.17127688
349,RNF213,-0.17135294
350,CEBPA,-0.17137468
351,TSC2,-0.17175324
352,AKT2,-0.17176424
353,FIP1L1,-0.17300783
354,FURIN,-0.17402165
355,MUC16,-0.17497255
356,HBEGF,-0.17527063
357,NGF,-0.17617916
358,F2,-0.17708878
359,MAPK6,-0.17955653
360,LATS2,-0.1804687
361,BUB1B,-0.18108535
362,MAPK12,-0.18485238
363,CD28,-0.18527432
364,TSC1,-0.18595052
365,NFIA,-0.18732941
366,NOTCH4,-0.19035292
367,FAT1,-0.19172084
368,FGF19,-0.19199002
369,MAPK11,-0.19244762
370,NF1,-0.19488895
371,FERMT3,-0.19559197
372,SIRT1,-0.19658248
373,MYLK3,-0.1971095
374,ITGB3,-0.1986261
375,CCNC,-0.19927222
376,GPC5,-0.19980823
377,IRF7,-0.20033069
378,VAV2,-0.20101942
379,SH3KBP1,-0.20157735
380,SEL1L,-0.20264907
381,MYO9A,-0.20399429
382,E2F3,-0.20507719
383,MUC4,-0.20554554
384,MAPK10,-0.20556132
385,RIPK1,-0.20691101
386,PDS5B,-0.20752525
387,PLIN2,-0.20794018
388,B2M,-0.21317928
389,RAD17,-0.2139545
390,BAP1,-0.21479303
391,NRIP1,-0.21523666
392,CUBN,-0.2183106
393,TGFA,-0.21850044
394,FGF10,-0.2193548
395,SUGP1,-0.21990515
396,ILK,-0.22220106
397,PGR,-0.22322963
398,SMG7,-0.22381704
399,ERCC4,-0.2252476
400,GLI2,-0.22663398
401,SOCS3,-0.2273757
402,UBC,-0.22967446
403,DNMT3A,-0.22969802
404,SHH,-0.22973597
405,ZNF99,-0.23124033
406,BAX,-0.23217912
407,TCF3,-0.23255758
408,SMAD9,-0.23435362
409,MITF,-0.23501568
410,NFATC3,-0.2368037
411,PPP6R3,-0.23717135
412,MAPK14,-0.23744893
413,DDX58,-0.23752053
414,VWF,-0.2375455
415,FGF23,-0.23769681
416,HTR1B,-0.23931228
417,ATP1A4,-0.23946662
418,SREBF2,-0.24128164
419,KHDRBS3,-0.2414558
420,IL12RB2,-0.24159099
421,PIK3CB,-0.24252194
422,POT1,-0.24295896
423,NONO,-0.24313152
424,RFC1,-0.24336046
425,MPL,-0.24360414
426,JAG1,-0.24361897
427,IL7R,-0.24399062
428,CUX1,-0.2441742
429,TNXB,-0.24450701
430,DDX6,-0.24535243
431,OGT,-0.24712677
432,INHBC,-0.24838948
433,DLG5,-0.24888611
434,STAG2,-0.2493232
435,EPS15,-0.24999219
436,HSP90AB1,-0.25031367
437,EZR,-0.25033525
438,NRAS,-0.25137568
439,CCNB2,-0.25138006
440,DNAH14,-0.2520388
441,TNR,-0.2525076
442,THOC2,-0.25265163
443,DCAF13,-0.25377643
444,PAK2,-0.25591925
445,SPTBN5,-0.25684193
446,MMP1,-0.25879404
447,DNAH2,-0.25887495
448,SPRED1,-0.2600171
449,TRRAP,-0.26087007
450,CUL4B,-0.26132047
451,ERCC1,-0.26235583
452,FADD,-0.26247814
453,SLC22A3,-0.2640076
454,FRS2,-0.26518753
455,HSP90AA1,-0.26558283
456,PPP1CC,-0.26717383
457,ETS1,-0.26854038
458,IL2,-0.2687514
459,LRP6,-0.26929507
460,ITGB1,-0.27017292
461,BRD8,-0.27054486
462,PCK1,-0.2709361
463,GOLGB1,-0.2737379
464,DNMT3B,-0.2747917
465,MAP2K4,-0.27618918
466,PRKD3,-0.27633455
467,STAT5B,-0.27687678
468,THBS2,-0.27688012
469,TP63,-0.28033996
470,PPP2CA,-0.28082496
471,PTPRK,-0.28092363
472,ACTB,-0.28150284
473,CCNH,-0.28153208
474,MAPK13,-0.28344584
475,STIL,-0.2840807
476,NEFH,-0.2841295
477,ERCC2,-0.28518257
478,ESPL1,-0.28554457
