,name,score
0,PIK3CA,40.595676
1,TP53,38.70575
2,BRAF,26.793718
3,PTEN,24.29008
4,KRAS,21.865662
5,EP300,16.856354
6,KMT2D,16.728746
7,ATM,16.008055
8,ARID1A,15.780743
9,PIK3R1,14.177563
10,CREBBP,13.875789
11,CDH1,13.628973
12,APC,11.984542
13,CTNNB1,10.652875
14,AKT1,10.375333
15,NRAS,9.340092
16,MAP3K1,9.262269
17,NOTCH1,8.951615
18,KMT2C,8.891154
19,NCOR1,8.815111
20,SMAD4,8.41896
21,CHD4,8.153922
22,PBRM1,7.81375
23,HRAS,7.7035327
24,TNRC6A,7.4080706
25,RB1,6.062922
26,AKAP9,5.5685897
27,SOS1,4.987093
28,KMT2A,4.535442
29,TLN1,3.9977112
30,MTOR,3.6380546
31,NCOR2,3.5533316
32,SMARCA4,3.489693
33,STAT3,2.5315564
34,ATR,2.1285164
35,JAK1,2.0715575
36,BRCA1,1.8517674
37,PRKDC,1.7669305
38,NOTCH2,1.7180473
39,ESR1,1.6182576
40,POLE,1.5419444
41,FN1,1.5087196
42,JUN,0.7854204
43,EGFR,0.7292105
44,VWF,0.7143666
45,TP53BP1,0.6829222
46,KMT2B,0.43647236
47,KDR,0.34729147
48,STAG2,0.028140599
49,GATA3,-0.110686064
50,VHL,-0.13920501
51,APOB,-0.42279872
52,FBXW7,-0.48111296
53,FGFR3,-0.5758326
54,TGFBR2,-0.58894914
55,AR,-0.674535
56,KAT2B,-0.8670988
57,IQGAP1,-0.9409579
58,CTCF,-0.97242963
59,ERBB2,-1.0107207
60,NCOA3,-1.2294523
61,MAPK1,-1.4925201
62,RHOA,-1.6958939
63,IGF1R,-1.8180608
64,THBS1,-1.8722104
65,PLCG1,-1.8851418
66,TNRC6B,-1.9325587
67,KDM6A,-2.03943
68,CCND1,-2.0727918
69,SIN3A,-2.0789337
70,HGF,-2.1292205
71,HIF1A,-2.223077
72,FGFR2,-2.276039
73,RUNX1,-2.3644264
74,TRRAP,-2.5426838
75,ITGB3,-2.6180646
76,PLCG2,-2.9157403
77,TLR4,-2.9217823
78,SHC1,-2.9551857
79,REV3L,-2.96767
80,ERCC2,-3.1453598
81,SYK,-3.2461386
82,SPOP,-3.2890983
83,CASP8,-3.351779
84,MED12,-3.3553581
85,SYNE1,-3.388838
86,MED13,-3.4113035
87,TAF1,-3.4761336
88,SMAD3,-3.477925
89,HSPG2,-3.570122
90,PRKCA,-3.5794063
91,BRCA2,-3.5845532
92,MED1,-3.753744
93,SRC,-3.7909584
94,FANCM,-3.8102548
95,CDKN1A,-3.8283484
96,DNMT1,-3.8639612
97,ITGA2B,-3.9631114
98,C3,-3.9716287
99,FYN,-3.9911335
100,TCF7L2,-4.0357203
101,FANCA,-4.0756717
102,IRS1,-4.176595
103,SMAD2,-4.1788015
104,SETD2,-4.331831
105,E2F1,-4.4034944
106,TBL1XR1,-4.4893346
107,NCOA1,-4.5168414
108,JAK2,-4.5449424
109,AGO1,-4.6585226
110,TGFBR1,-4.8285046
111,TPR,-4.833231
112,STAT1,-4.874294
113,CHD3,-4.928757
114,QKI,-4.9365706
115,NOTCH3,-5.0698953
116,BLM,-5.077469
117,FAT1,-5.1052227
118,MET,-5.115496
119,B2M,-5.128097
120,NF1,-5.1713133
121,PIK3CB,-5.537816
122,DST,-5.6225653
123,YES1,-5.672205
124,AKT3,-5.7334085
125,SPTAN1,-5.821287
126,FANCD2,-5.904154
127,HLA-A,-5.923656
128,PTK2,-5.9397726
129,RNF213,-5.944492
130,EZH2,-5.9656973
131,SIN3B,-6.0497184
132,TTN,-6.0734854
133,SMARCC2,-6.1663766
134,MCM7,-6.186122
135,SLX4,-6.2281365
136,RASA1,-6.2392583
137,CCND2,-6.3426914
138,ITPR1,-6.3485413
139,EGF,-6.373166
140,MDC1,-6.3901825
141,MDM2,-6.3950915
142,MYC,-6.395918
143,MAP2K4,-6.417312
144,ARID2,-6.41815
145,FOS,-6.455286
146,RPTOR,-6.473631
147,VCL,-6.4783573
148,MUC16,-6.503764
149,PDGFRB,-6.5319223
150,VCAN,-6.549634
151,MAP2K1,-6.717889
152,ACTB,-6.7284346
153,MAML2,-6.7360682
154,IGF1,-6.752408
155,TFDP1,-6.7534695
156,FGF2,-6.757415
157,GAB2,-6.780234
158,TSC2,-6.783962
159,PPARG,-6.805267
160,AP3B1,-6.8152266
161,CTNNA1,-6.817159
162,LAMC1,-6.912015
163,RELA,-6.9565396
164,DNMT3A,-7.0861707
165,RAC1,-7.142076
166,POLD1,-7.174185
167,KSR1,-7.2278
168,USP9X,-7.329229
169,CHEK1,-7.40779
170,PTPN11,-7.4447675
171,AGO3,-7.4653096
172,ARID1B,-7.471527
173,LYN,-7.498045
174,RFC1,-7.5274463
175,JAK3,-7.566383
176,SYNE2,-7.62432
177,FGG,-7.768226
178,ABL1,-7.7978077
179,PTK2B,-7.834316
180,GLI1,-7.8462095
181,STAG1,-7.963649
182,ALMS1,-8.004686
183,FOXO1,-8.089868
184,LRP2,-8.12459
185,HSP90AA1,-8.175893
186,PIK3CG,-8.189173
187,SPEN,-8.210832
188,PARD3,-8.210996
189,SMC1A,-8.211429
190,HDAC5,-8.241079
191,ZFHX3,-8.279964
192,FGFR1,-8.338085
193,NGF,-8.352265
194,TSC1,-8.371407
195,WRN,-8.436108
196,VEGFA,-8.460321
197,PPARGC1A,-8.552855
198,MEF2C,-8.562359
199,NCOA2,-8.5909395
200,CCNA2,-8.6628895
201,CTNND1,-8.708874
202,CCNE2,-8.724889
203,HSP90AB1,-8.750558
204,AGO2,-8.760817
205,LCP2,-8.779956
206,NR3C1,-8.836224
207,CBL,-8.873613
208,KIT,-8.888274
209,ACVR2A,-8.8884115
210,ARRB1,-8.896221
211,POT1,-8.904226
212,EPHB2,-8.908182
213,MAPK14,-8.911952
214,DLG4,-8.914412
215,CUX1,-8.918672
216,AKT2,-8.921511
217,KIAA1549,-8.923482
218,ASH1L,-8.927399
219,YWHAZ,-8.936156
220,VAV1,-9.042161
221,RXRA,-9.092419
222,RAF1,-9.126114
223,CCNE1,-9.165759
224,HERC2,-9.167646
225,GLI3,-9.179206
226,ITGAV,-9.206697
227,BMPR2,-9.235223
228,MAPK8,-9.237898
229,ITPR3,-9.2746525
230,NBN,-9.286547
231,ZMYM2,-9.28968
232,MCM6,-9.358607
233,BCL6,-9.389876
234,STAT5B,-9.425096
235,PHC2,-9.440219
236,BPTF,-9.456281
237,ERBB4,-9.458859
238,BTK,-9.476493
239,APBB1IP,-9.497502
240,CSF2RA,-9.524652
241,HDAC4,-9.53096
242,MAML3,-9.53733
243,TAB3,-9.605526
244,LRP1,-9.640652
245,CDKN1B,-9.656999
246,FGA,-9.669359
247,SUPT16H,-9.689733
248,INSR,-9.743269
249,CDK12,-9.758281
250,ERBB3,-9.780584
251,FRS2,-9.781739
252,MDN1,-9.785786
253,GAB1,-9.824586
254,LEF1,-9.839891
255,ASXL2,-9.847254
256,NFKBIA,-9.869006
257,IGF2R,-9.894182
258,HLA-B,-9.933133
259,HSPA8,-10.003549
260,MSH2,-10.147149
261,SMARCA2,-10.208497
262,DICER1,-10.267257
263,MSH6,-10.267793
264,PRKACB,-10.279035
265,E2F3,-10.3212805
266,AGRN,-10.324138
267,NOS3,-10.349348
268,SOX9,-10.383534
269,CACNA1C,-10.449179
270,RET,-10.478879
271,RAD51,-10.484872
272,OBSCN,-10.492461
273,KSR2,-10.501885
274,KAT2A,-10.502059
275,MAP3K7,-10.503211
276,ITPR2,-10.51302
277,FAT4,-10.552171
278,ACACA,-10.5888605
279,NIPBL,-10.5982275
280,RARA,-10.602598
281,SF3B1,-10.607314
282,IKBKB,-10.619206
283,CARD11,-10.634095
284,TRIM24,-10.639868
285,DAXX,-10.657709
286,MAPK3,-10.681134
287,TRPS1,-10.684292
288,TCF4,-10.693979
289,AMER1,-10.756144
290,PRKCB,-10.77751
291,EIF4A2,-10.810352
292,KAT6A,-10.813229
293,LAMB1,-10.8228035
294,PIK3CD,-10.828162
295,DNA2,-10.839576
296,FLNA,-10.879931
297,HCFC1,-10.890213
298,SMC3,-10.911985
299,RBL1,-10.918304
300,CHUK,-10.931988
301,RBPJ,-10.954654
302,MYH9,-10.974839
303,IL6,-10.975647
304,NFKB1,-11.044347
305,KANSL1,-11.067563
306,GSK3B,-11.135056
307,RAD50,-11.147222
308,LMNA,-11.155985
309,MACF1,-11.192985
310,TYK2,-11.195358
311,UBR4,-11.21432
312,CYFIP2,-11.222683
313,TIMELESS,-11.252932
314,PTCH1,-11.278401
315,ATRX,-11.358097
316,MARK3,-11.360941
317,PCNT,-11.393962
318,PRKCQ,-11.432181
319,TRAF6,-11.439974
320,MCM4,-11.473107
321,AXIN1,-11.504576
322,CDC25A,-11.506503
323,IL6ST,-11.523174
324,HSP90B1,-11.534761
325,IRAK1,-11.544747
326,UBR5,-11.548362
327,TNC,-11.572973
328,TNF,-11.58064
329,DHX9,-11.583867
330,AGO4,-11.62115
331,NUMA1,-11.657961
332,L1CAM,-11.658466
333,HDAC2,-11.669448
334,ORC1,-11.734224
335,WNK1,-11.737151
336,NRG1,-11.752582
337,GRB2,-11.761781
338,NTRK1,-11.764609
339,AP2A2,-11.788411
340,SMARCC1,-11.790203
341,SUMO1,-11.826114
342,SETD1A,-11.860138
343,SYCP2,-11.892181
344,SMARCD1,-11.920126
345,IL2RG,-11.957711
346,PDGFB,-11.973544
347,BCL2,-11.988098
348,MCM2,-11.999737
349,EPHB1,-12.028855
350,FADD,-12.043881
351,CUL4B,-12.071334
352,POLR1A,-12.08428
353,LRP6,-12.084707
354,ORC2,-12.10226
355,PLEC,-12.106061
356,CACNA1D,-12.117109
357,ROBO1,-12.128255
358,RANBP2,-12.208123
359,LMNB1,-12.246886
360,CBX2,-12.253903
361,NTRK2,-12.280608
362,CNOT1,-12.29042
363,PRKACA,-12.314764
364,ERCC3,-12.325423
365,ATF2,-12.345125
366,PIK3R2,-12.363039
367,NOTCH4,-12.396912
368,SRRM2,-12.410128
369,FXR1,-12.480892
370,CRK,-12.494647
371,EIF4G1,-12.52805
372,SP1,-12.528172
373,BARD1,-12.547967
374,TRAF2,-12.56733
375,GON4L,-12.578871
376,CDK1,-12.595897
377,TFRC,-12.623001
378,NFE2L2,-12.677373
379,NRIP1,-12.691523
380,RICTOR,-12.704492
381,CSK,-12.733095
382,BAP1,-12.772635
383,BCL2L11,-12.783707
384,GATA1,-12.791109
385,ANGPT1,-12.794189
386,XRCC6,-12.806939
387,DOCK1,-12.817585
388,RB1CC1,-12.849943
389,CHD1,-12.855374
390,SOX2,-12.864409
391,CDKN2A,-12.869063
392,STAT5A,-12.8712225
393,AP2B1,-12.873191
394,PML,-12.900267
395,FOXA1,-12.901016
396,CNKSR2,-12.918659
397,TLR3,-12.924536
398,APP,-12.930512
399,ESRP1,-12.937347
400,MYCBP2,-12.939512
401,CHD7,-12.954706
402,SDC2,-12.963007
403,CDK2,-12.969269
404,PRKAR2B,-12.9875345
405,RYR1,-13.014864
406,SETD1B,-13.022724
407,DYNC1H1,-13.034731
408,SMAD7,-13.068144
409,PTPRC,-13.083954
410,CCNA1,-13.095136
411,LCK,-13.113957
412,DNAH9,-13.135209
413,POLR2A,-13.147464
414,CDC6,-13.182478
415,TLE3,-13.188344
416,PHC3,-13.227717
417,CAMK2B,-13.256801
418,TBX3,-13.267068
419,ANK3,-13.28063
420,ITGB4,-13.312442
421,TEK,-13.3802185
422,MCM5,-13.418273
423,FANCI,-13.420884
424,DDB1,-13.436083
425,RUNX3,-13.472231
426,EGR1,-13.516789
427,THBS2,-13.536257
428,POLD3,-13.540748
429,RFC4,-13.554076
430,SDC1,-13.564263
431,APOA1,-13.570652
432,RPA1,-13.573113
433,BCOR,-13.579275
434,RBBP6,-13.584875
435,CHEK2,-13.586664
436,NRP1,-13.619523
437,FLT1,-13.63055
438,PRKCE,-13.633372
439,NFATC2,-13.662646
440,PARP1,-13.664815
441,FZD4,-13.671078
442,SHH,-13.703008
443,RMI2,-13.726517
444,CYP1A1,-13.751672
445,ITGB1,-13.7975
446,FASN,-13.804688
447,KMT2E,-13.834581
448,NTRK3,-13.842588
449,POLA1,-13.849413
450,CDK6,-13.880336
451,CDK4,-13.894107
452,ABCA1,-13.897029
453,CPSF6,-13.924185
454,LIG3,-13.9364195
455,ENPP1,-13.942125
456,PPP2R1A,-13.953773
457,STAT2,-13.958248
458,DLG1,-13.958753
459,SDC4,-13.962679
460,FGF1,-13.998028
461,RBBP4,-14.001233
